Round,Grand Prix,Location,Date,Fastest Lap Driver,P1,P1 Team,P1 Points,P2,P2 Team,P2 Points,P3,P3 Team,P3 Points,P4,P4 Team,P4 Points,P5,P5 Team,P5 Points,P6,P6 Team,P6 Points,P7,P7 Team,P7 Points,P8,P8 Team,P8 Points,P9,P9 Team,P9 Points,P10,P10 Team,P10 Points
1,Australian Grand Prix,Melbourne Grand Prix Circuit,2018-03-25,Daniel Ricciardo,Sebastian Vettel,Ferrari,25.0,Lewis Hamilton,Mercedes,18.0,Kimi Raikkonen,Ferrari,15.0,Daniel Ricciardo,Red Bull,12.0,Fernando Alonso,McLaren,10.0,Max Verstappen,Red Bull,8.0,Nico Hulkenberg,Renault,6.0,Valtteri Bottas,Mercedes,4.0,Stoffel Vandoorne,McLaren,2.0,Carlos Sainz Jnr,Renault,1.0
2,Bahrain Grand Prix,Bahrain IC,2018-04-08,Valtteri Bottas,Sebastian Vettel,Ferrari,25.0,Valtteri Bottas,Mercedes,18.0,Lewis Hamilton,Mercedes,15.0,Pierre Gasly,Toro Rosso,12.0,Kevin Magnussen,Haas,10.0,Nico Hulkenberg,Renault,8.0,Fernando Alonso,McLaren,6.0,Stoffel Vandoorne,McLaren,4.0,Marcus Ericsson,Sauber,2.0,Esteban Ocon,Force India,1.0
3,Chinese Grand Prix,Shanghai IC,2018-04-15,Daniel Ricciardo,Daniel Ricciardo,Red Bull,25.0,Valtteri Bottas,Mercedes,18.0,Kimi Raikkonen,Ferrari,15.0,Lewis Hamilton,Mercedes,12.0,Max Verstappen,Red Bull,10.0,Nico Hulkenberg,Renault,8.0,Fernando Alonso,McLaren,6.0,Sebastian Vettel,Ferrari,4.0,Carlos Sainz Jnr,Renault,2.0,Kevin Magnussen,Haas,1.0
4,Azerbaijan Grand Prix,Baku City Circuit,2018-04-29,,Lewis Hamilton,Mercedes,25.0,Kimi Raikkonen,Ferrari,18.0,Sergio Perez,Force India,15.0,Sebastian Vettel,Ferrari,12.0,Carlos Sainz Jnr,Renault,10.0,Charles Leclerc,Sauber,8.0,Fernando Alonso,McLaren,6.0,Lance Stroll,Williams,4.0,Stoffel Vandoorne,McLaren,2.0,Brendon Hartley,Toro Rosso,1.0
5,Spanish Grand Prix,Circuit de Catalunya,2018-05-13,Daniel Ricciardo,Lewis Hamilton,Mercedes,25.0,Valtteri Bottas,Mercedes,18.0,Max Verstappen,Red Bull,15.0,Sebastian Vettel,Ferrari,12.0,Daniel Ricciardo,Red Bull,10.0,Kevin Magnussen,Haas,8.0,Carlos Sainz Jnr,Renault,6.0,Fernando Alonso,McLaren,4.0,Sergio Perez,Force India,2.0,Charles Leclerc,Sauber,1.0
6,Monaco Grand Prix,Monte Carlo,2018-05-27,Max Verstappen,Daniel Ricciardo,Red Bull,25.0,Sebastian Vettel,Ferrari,18.0,Lewis Hamilton,Mercedes,15.0,Kimi Raikkonen,Ferrari,12.0,Valtteri Bottas,Mercedes,10.0,Esteban Ocon,Force India,8.0,Pierre Gasly,Toro Rosso,6.0,Nico Hulkenberg,Renault,4.0,Max Verstappen,Red Bull,2.0,Carlos Sainz Jnr,Renault,1.0
7,Canadian Grand Prix,Gilles Villeneuve,2018-06-10,Max Verstappen,Sebastian Vettel,Ferrari,25.0,Valtteri Bottas,Mercedes,18.0,Max Verstappen,Red Bull,15.0,Daniel Ricciardo,Red Bull,12.0,Lewis Hamilton,Mercedes,10.0,Kimi Raikkonen,Ferrari,8.0,Nico Hulkenberg,Renault,6.0,Carlos Sainz Jnr,Renault,4.0,Esteban Ocon,Force India,2.0,Charles Leclerc,Sauber,1.0
8,French Grand Prix,Circuit Paul Ricard,2018-06-24,Valtteri Bottas,Lewis Hamilton,Mercedes,25.0,Max Verstappen,Red Bull,18.0,Kimi Raikkonen,Ferrari,15.0,Daniel Ricciardo,Red Bull,12.0,Sebastian Vettel,Ferrari,10.0,Kevin Magnussen,Haas,8.0,Valtteri Bottas,Mercedes,6.0,Carlos Sainz Jnr,Renault,4.0,Nico Hulkenberg,Renault,2.0,Charles Leclerc,Sauber,1.0
9,Austrian Grand Prix,Red Bull Ring,2018-07-01,Kimi Raikkonen,Max Verstappen,Red Bull,25.0,Kimi Raikkonen,Ferrari,18.0,Sebastian Vettel,Ferrari,15.0,Romain Grosjean,Haas,12.0,Kevin Magnussen,Haas,10.0,Esteban Ocon,Force India,8.0,Sergio Perez,Force India,6.0,Fernando Alonso,McLaren,4.0,Charles Leclerc,Sauber,2.0,Marcus Ericsson,Sauber,1.0
10,British Grand Prix,Silverstone,2018-07-08,Sebastian Vettel,Sebastian Vettel,Ferrari,25.0,Lewis Hamilton,Mercedes,18.0,Kimi Raikkonen,Ferrari,15.0,Valtteri Bottas,Mercedes,12.0,Daniel Ricciardo,Red Bull,10.0,Nico Hulkenberg,Renault,8.0,Esteban Ocon,Force India,6.0,Fernando Alonso,McLaren,4.0,Kevin Magnussen,Haas,2.0,Sergio Perez,Force India,1.0
