Round,Grand Prix,Location,Date,Fastest Lap Driver,P1,P1 Points,P2,P2 Points,P3,P3 Points,P4,P4 Points,P5,P5 Points,P6,P6 Points,P7,P7 Points,P8,P8 Points,P9,P9 Points,P10,P10 Points
1,Bahrain Grand Prix,Sakhir – Bahrain International Circuit,2024-03-02,,Max Verstappen,26,Sergio Pérez,18,Carlos Sainz Jr.,15,Charles Leclerc,12,George Russell,10,Lando Norris,8,Lewis Hamilton,6,Oscar Piastri,4,Fernando Alonso,2,Lance Stroll,1
2,Saudi Arabian Grand Prix,Jeddah – Jeddah Corniche Circuit,2024-03-09,,Max Verstappen,25,Sergio Pérez,18,Charles Leclerc,19,Oscar Piastri,12,Fernando Alonso,10,George Russell,8,Oliver Bearman,6,Lando Norris,4,Lewis Hamilton,2,Nico Hülkenberg,1
3,Australian Grand Prix,Melbourne – Albert Park Circuit,2024-03-24,,Carlos Sainz Jr.,25,Charles Leclerc,19,Lando Norris,15,Oscar Piastri,12,Sergio Pérez,10,Lance Stroll,8,Yuki Tsunoda,6,Fernando Alonso,4,Nico Hülkenberg,2,Kevin Magnussen,1
4,Japanese Grand Prix,Suzuka – Suzuka International Racing Course,2024-04-07,,Max Verstappen,26,Sergio Pérez,18,Carlos Sainz Jr.,15,Charles Leclerc,12,Lando Norris,10,Fernando Alonso,8,George Russell,6,Oscar Piastri,4,Lewis Hamilton,2,Yuki Tsunoda,1
5,Chinese Grand Prix,Shanghai – Shanghai International Circuit,2024-04-21,,Max Verstappen,25,Lando Norris,18,Sergio Pérez,15,Charles Leclerc,12,Carlos Sainz Jr.,10,George Russell,8,Fernando Alonso,6,Oscar Piastri,4,Lewis Hamilton,2,Nico Hülkenberg,1
6,Miami Grand Prix,Miami – Miami International Autodrome,2024-05-05,,Lando Norris,25,Max Verstappen,18,Charles Leclerc,15,Sergio Pérez,12,Carlos Sainz Jr.,10,Lewis Hamilton,8,Yuki Tsunoda,6,George Russell,4,Fernando Alonso,2,Esteban Ocon,1
7,Emilia Romagna Grand Prix,Imola – Autodromo Enzo e Dino Ferrari,2024-05-19,,Max Verstappen,25,Lando Norris,18,Charles Leclerc,15,Oscar Piastri,12,Carlos Sainz Jr.,10,Lewis Hamilton,8,George Russell,6,Sergio Pérez,4,Lance Stroll,2,Yuki Tsunoda,1
8,Monaco Grand Prix,Monaco – Circuit de Monaco,2024-05-26,,Charles Leclerc,25,Oscar Piastri,18,Carlos Sainz Jr.,15,Lando Norris,12,George Russell,10,Max Verstappen,8,Lewis Hamilton,6,Yuki Tsunoda,4,Alexander Albon,2,Pierre Gasly,1
9,Canadian Grand Prix,Montreal – Circuit Gilles Villeneuve,2024-06-09,,Max Verstappen,25,Lando Norris,18,George Russell,15,Lewis Hamilton,13,Oscar Piastri,10,Fernando Alonso,8,Lance Stroll,6,Daniel Ricciardo,4,Pierre Gasly,2,Esteban Ocon,1
10,Spanish Grand Prix,Barcelona – Circuit de Barcelona-Catalunya,2024-06-23,,Max Verstappen,25,Lando Norris,19,Lewis Hamilton,15,George Russell,12,Charles Leclerc,10,Carlos Sainz Jr.,8,Oscar Piastri,6,Sergio Pérez,4,Pierre Gasly,2,Esteban Ocon,1
11,Austrian Grand Prix,Spielberg – Red Bull Ring,2024-06-30,,George Russell,25,Oscar Piastri,18,Carlos Sainz Jr.,15,Lewis Hamilton,12,Max Verstappen,10,Nico Hülkenberg,8,Sergio Pérez,6,Kevin Magnussen,4,Daniel Ricciardo,2,Pierre Gasly,1
12,British Grand Prix,Silverstone – Silverstone Circuit,2024-07-07,,Lewis Hamilton,25,Max Verstappen,18,Lando Norris,15,Oscar Piastri,12,Carlos Sainz Jr.,11,Nico Hülkenberg,8,Lance Stroll,6,Fernando Alonso,4,Alexander Albon,2,Yuki Tsunoda,1
13,Hungarian Grand Prix,Budapest – Hungaroring,2024-07-21,,Oscar Piastri,25,Lando Norris,18,Lewis Hamilton,15,Charles Leclerc,12,Max Verstappen,10,Carlos Sainz Jr.,8,Sergio Pérez,6,George Russell,5,Yuki Tsunoda,2,Lance Stroll,1
14,Belgian Grand Prix,Stavelot – Circuit de Spa-Francorchamps,2024-07-28,,Lewis Hamilton,25,Oscar Piastri,18,Charles Leclerc,15,Max Verstappen,12,Lando Norris,10,Carlos Sainz Jr.,8,Sergio Pérez,7,Fernando Alonso,4,Esteban Ocon,2,Daniel Ricciardo,1
15,Dutch Grand Prix,Zandvoort – Circuit Zandvoort,2024-08-25,,Lando Norris,26,Max Verstappen,18,Charles Leclerc,15,Oscar Piastri,12,Carlos Sainz Jr.,10,Sergio Pérez,8,George Russell,6,Lewis Hamilton,4,Pierre Gasly,2,Fernando Alonso,1
16,Italian Grand Prix,Monza – Autodromo Nazionale Monza,2024-09-01,,Charles Leclerc,25,Oscar Piastri,18,George Russell,15,Lando Norris,13,Max Verstappen,10,Fernando Alonso,8,Alexander Albon,6,Franco Colapinto,4,Lewis Hamilton,2,Oliver Bearman,1
17,Azerbaijan Grand Prix,Baku – Baku City Circuit,2024-09-15,,Oscar Piastri,25,Charles Leclerc,18,George Russell,15,Lando Norris,13,Max Verstappen,10,Fernando Alonso,8,Alexander Albon,6,Franco Colapinto,4,Lewis Hamilton,2,Oliver Bearman,1
18,Singapore Grand Prix,Singapore – Marina Bay Street Circuit,2024-09-22,,Lando Norris,25,Max Verstappen,18,Oscar Piastri,15,George Russell,12,Charles Leclerc,10,Lewis Hamilton,8,Carlos Sainz Jr.,6,Fernando Alonso,4,Nico Hülkenberg,2,Sergio Pérez,1
19,United States Grand Prix,Austin – Circuit of the Americas,2024-10-20,,Charles Leclerc,25,Carlos Sainz Jr.,18,Max Verstappen,15,Lando Norris,12,Oscar Piastri,10,George Russell,8,Sergio Pérez,6,Nico Hülkenberg,4,Liam Lawson,2,Franco Colapinto,1
20,Las Vegas Grand Prix,Las Vegas – Las Vegas Strip Street Circuit,2024-11-23,,Carlos Sainz Jr.,25,Lando Norris,18,Charles Leclerc,16,Lewis Hamilton,12,George Russell,10,Max Verstappen,8,Pierre Gasly,6,Nico Hülkenberg,4,Fernando Alonso,2,Oscar Piastri,1
